GENE	GENE_ENTREZ	ONCOGENE	TSG	DRIVER	CANONICAL_DRIVER	ONCOGENE_EVIDENCES	TSG_EVIDENCES
BOK	666	FALSE	FALSE	TRUE	FALSE	0	0
BORA	79866	FALSE	FALSE	TRUE	FALSE	0	0
BPIFB1	92747	FALSE	FALSE	TRUE	FALSE	0	0
BPTF	2186	FALSE	FALSE	TRUE	FALSE	0	0
BRAF	673	TRUE	FALSE	TRUE	TRUE	3	0
BRCA1	672	FALSE	TRUE	TRUE	TRUE	0	3
BRCA2	675	FALSE	TRUE	TRUE	TRUE	0	2
BRCC3	79184	FALSE	FALSE	TRUE	FALSE	0	0
BRD3	8019	TRUE	FALSE	TRUE	TRUE	1	0
BRD4	23476	TRUE	FALSE	TRUE	TRUE	1	0
BRD7	29117	FALSE	FALSE	TRUE	FALSE	0	0
BRD8	10902	FALSE	FALSE	TRUE	FALSE	0	0
BRDT	676	FALSE	FALSE	TRUE	FALSE	0	0
BRINP3	339479	FALSE	FALSE	TRUE	FALSE	0	0
BRIP1	83990	FALSE	TRUE	TRUE	TRUE	0	1
BRPF1	7862	FALSE	FALSE	TRUE	FALSE	0	0
BRPF3	27154	FALSE	FALSE	TRUE	FALSE	0	0
BRSK1	84446	FALSE	FALSE	TRUE	FALSE	0	0
BTBD11	121551	FALSE	FALSE	TRUE	FALSE	0	0
BTG1	694	FALSE	TRUE	TRUE	TRUE	0	1
BTG2	7832	FALSE	FALSE	TRUE	FALSE	0	0
BTK	695	FALSE	FALSE	TRUE	TRUE	1	1
BTLA	151888	FALSE	FALSE	TRUE	FALSE	0	0
BTN3A2	11118	FALSE	FALSE	TRUE	FALSE	0	0
BTNL3	10917	FALSE	FALSE	TRUE	FALSE	0	0
BUB1B	701	FALSE	TRUE	TRUE	TRUE	0	1
BUD23	114049	FALSE	FALSE	TRUE	FALSE	0	0
C10orf90	118611	FALSE	FALSE	TRUE	FALSE	0	0
C11orf49	79096	FALSE	FALSE	TRUE	FALSE	0	0
C15orf48	84419	FALSE	FALSE	TRUE	FALSE	0	0
C16orf91	283951	FALSE	FALSE	TRUE	FALSE	0	0
C19orf53	28974	FALSE	FALSE	TRUE	FALSE	0	0
C1QL2	165257	FALSE	FALSE	TRUE	FALSE	0	0
C1QTNF1	114897	FALSE	FALSE	TRUE	FALSE	0	0
C1orf100	200159	FALSE	FALSE	TRUE	FALSE	0	0
C1orf127	148345	FALSE	FALSE	TRUE	FALSE	0	0
C1orf159	54991	FALSE	FALSE	TRUE	FALSE	0	0
C1orf185	284546	FALSE	FALSE	TRUE	FALSE	0	0
C1orf194	127003	FALSE	FALSE	TRUE	FALSE	0	0
C22orf34	348645	FALSE	FALSE	TRUE	FALSE	0	0
C2CD3	26005	FALSE	FALSE	TRUE	FALSE	0	0
C2CD4C	126567	FALSE	FALSE	TRUE	FALSE	0	0
C2CD5	9847	FALSE	FALSE	TRUE	FALSE	0	0
C2CD6	151254	FALSE	FALSE	TRUE	FALSE	0	0
C3	718	FALSE	FALSE	TRUE	FALSE	0	0
C3AR1	719	FALSE	FALSE	TRUE	FALSE	0	0
C3orf62	375341	FALSE	FALSE	TRUE	FALSE	0	0
C6orf118	168090	FALSE	FALSE	TRUE	FALSE	0	0
C6orf136	221545	FALSE	FALSE	TRUE	FALSE	0	0
C6orf62	81688	FALSE	FALSE	TRUE	FALSE	0	0
C7	730	FALSE	FALSE	TRUE	FALSE	0	0
C7orf31	136895	FALSE	FALSE	TRUE	FALSE	0	0
C8orf44-SGK3	100533105	FALSE	FALSE	TRUE	FALSE	0	0
C9orf78	51759	FALSE	FALSE	TRUE	FALSE	0	0
C9orf85	138241	FALSE	FALSE	TRUE	FALSE	0	0
CA10	56934	FALSE	FALSE	TRUE	FALSE	0	0
CABIN1	23523	FALSE	FALSE	TRUE	FALSE	0	0
CABLES1	91768	FALSE	FALSE	TRUE	FALSE	0	0
CACHD1	57685	FALSE	FALSE	TRUE	FALSE	0	0
CACNA1A	773	FALSE	FALSE	TRUE	FALSE	0	0
CACNA1B	774	FALSE	FALSE	TRUE	FALSE	0	0
CACNA1C	775	FALSE	FALSE	TRUE	FALSE	0	0
CACNA1D	776	TRUE	FALSE	TRUE	TRUE	1	0
CACNA1E	777	FALSE	FALSE	TRUE	FALSE	0	0
CACNA1H	8912	FALSE	FALSE	TRUE	FALSE	0	0
CACNA2D1	781	FALSE	FALSE	TRUE	FALSE	0	0
CACNA2D3	55799	FALSE	FALSE	TRUE	FALSE	0	0
CACNG6	59285	FALSE	FALSE	TRUE	FALSE	0	0
CADM2	253559	FALSE	FALSE	TRUE	FALSE	0	0
CALB2	794	FALSE	FALSE	TRUE	FALSE	0	0
CALCB	797	FALSE	FALSE	TRUE	FALSE	0	0
CALCOCO1	57658	FALSE	FALSE	TRUE	FALSE	0	0
CALCR	799	FALSE	FALSE	TRUE	FALSE	0	0
CALD1	800	FALSE	FALSE	TRUE	FALSE	0	0
CALHM6	441168	FALSE	FALSE	TRUE	FALSE	0	0
CALR	811	TRUE	FALSE	TRUE	TRUE	1	0
CAMKK2	10645	FALSE	FALSE	TRUE	FALSE	0	0
CAMTA1	23261	FALSE	TRUE	TRUE	TRUE	0	1
CANX	821	FALSE	FALSE	TRUE	FALSE	0	0
CAP2	10486	FALSE	FALSE	TRUE	FALSE	0	0
CARD10	29775	FALSE	FALSE	TRUE	FALSE	0	0
CARD11	84433	TRUE	FALSE	TRUE	TRUE	2	0
CARD6	84674	FALSE	FALSE	TRUE	FALSE	0	0
CARF	79800	FALSE	FALSE	TRUE	FALSE	0	0
CARNS1	57571	FALSE	FALSE	TRUE	FALSE	0	0
CARS1	833	FALSE	TRUE	TRUE	TRUE	0	1
CASC3	22794	FALSE	FALSE	TRUE	FALSE	0	0
CASKIN1	57524	FALSE	FALSE	TRUE	FALSE	0	0
CASP10	843	FALSE	FALSE	TRUE	FALSE	0	0
CASP3	836	FALSE	TRUE	TRUE	TRUE	0	1
CASP8	841	FALSE	TRUE	TRUE	TRUE	0	3
CASP9	842	FALSE	TRUE	TRUE	TRUE	0	1
CAST	831	FALSE	FALSE	TRUE	FALSE	0	0
CASZ1	54897	FALSE	FALSE	TRUE	FALSE	0	0
CATIP	375307	FALSE	FALSE	TRUE	FALSE	0	0
CBARP	255057	FALSE	FALSE	TRUE	FALSE	0	0
CBFA2T3	863	FALSE	TRUE	TRUE	TRUE	0	1
CBFB	865	FALSE	TRUE	TRUE	TRUE	0	1
CBL	867	TRUE	FALSE	TRUE	TRUE	2	1
CBLB	868	FALSE	TRUE	TRUE	TRUE	0	1
CBLC	23624	FALSE	FALSE	TRUE	TRUE	1	1
CBWD3	445571	FALSE	FALSE	TRUE	FALSE	0	0
CBX6	23466	FALSE	FALSE	TRUE	FALSE	0	0
CC2D1A	54862	FALSE	FALSE	TRUE	FALSE	0	0
CCAR1	55749	FALSE	FALSE	TRUE	FALSE	0	0
CCDC102A	92922	FALSE	FALSE	TRUE	FALSE	0	0
CCDC102B	79839	FALSE	FALSE	TRUE	FALSE	0	0
CCDC107	203260	FALSE	FALSE	TRUE	FALSE	0	0
CCDC120	90060	FALSE	FALSE	TRUE	FALSE	0	0
CCDC124	115098	FALSE	FALSE	TRUE	FALSE	0	0
CCDC155	147872	FALSE	FALSE	TRUE	FALSE	0	0
