GENE	CNA	GENIE_CNT	GENIE_FREQ	SAMPLES
CDK9	DEL	1	3.14901121047991e-05	31756
DDB1	DEL	1	3.14901121047991e-05	31756
DIS3L2	AMP	1	3.14901121047991e-05	31756
GALNT12	AMP	1	3.14901121047991e-05	31756
HELQ	AMP	1	3.14901121047991e-05	31756
KLLN	AMP	1	3.14901121047991e-05	31756
MBD4	DEL	1	3.14901121047991e-05	31756
OGG1	DEL	1	3.14901121047991e-05	31756
POLQ	DEL	1	3.14901121047991e-05	31756
PRPF40B	DEL	1	3.14901121047991e-05	31756
RAD54B	DEL	1	3.14901121047991e-05	31756
RHBDF2	DEL	1	3.14901121047991e-05	31756
RIF1	DEL	1	3.14901121047991e-05	31756
RINT1	DEL	1	3.14901121047991e-05	31756
SERPINA1	DEL	1	3.14901121047991e-05	31756
SLC25A13	DEL	1	3.14901121047991e-05	31756
SLX1A	DEL	1	3.14901121047991e-05	31756
TAZ	DEL	1	3.14901121047991e-05	31756
TCF7L1	DEL	1	3.14901121047991e-05	31756
XRCC5	AMP	1	3.14901121047991e-05	31756
ZNF217	DEL	1	2.5190185903572e-05	39698
ETV5	DEL	1	1.83126705367444e-05	54607
KLF2	DEL	1	1.83126705367444e-05	54607
ETAA1	DEL	1	1.32892131456896e-05	75249
